run_id,quality,groundedness,attack_success_rate,variance
20260926T180416184193Z-sarvam-application-local-variance-baseli-6c3b5837,,,,
20260926T180428729455Z-sarvam-application-local-variance-backen-f5331ed7,,,,
20260926T180434961387Z-sarvam-application-local-variance-backen-2a9b253e,,,,
