run_id,quality,groundedness,attack_success_rate,variance
20260926T132300829331Z-sarvam-application-local-variance-baseli-a399cf0a,0.0,,,0.0
20260926T132652652365Z-sarvam-application-local-variance-backen-c70801f7,0.0,,,0.0
20260926T133031521337Z-sarvam-application-local-variance-backen-2a7a98ac,0.0,,,0.0
